Year,평균기온(℃),최저기온(℃),최고기온(℃)
1973,11.5690410958904,7.40465753424658,16.3652054794521
1974,10.4901369863014,6.23150684931507,15.4641095890411
1975,11.8715068493151,7.65534246575343,16.8539726027397
1976,10.8543715846995,6.49617486338798,15.8415300546448
1977,11.6043835616438,7.04493150684932,16.8583561643836
1978,11.9035616438356,7.57643835616439,16.9709589041096
1979,11.9854794520548,7.63671232876711,17.1208219178082
1980,10.3322404371585,5.90464480874316,15.4185792349727
1981,10.5920547945206,6.20958904109589,15.4402739726027
1982,11.827397260274,7.32739726027398,16.9843835616438
1983,11.7690410958904,7.57068493150685,16.5254794520548
1984,11.0472677595628,6.80218579234973,15.9745901639344
1985,11.2246575342466,7.03945205479452,15.8986301369863
1986,10.812602739726,6.57150684931507,15.5169863013699
1987,11.4547945205479,7.24301369863013,16.1652054794521
1988,11.5628415300546,7.12978142076502,16.5685792349727
1989,12.3994520547945,8.14465753424657,17.258904109589
1990,12.3298630136986,8.47397260273973,16.7506849315068
1991,11.8087671232877,7.5813698630137,16.6065753424658
1992,11.9013661202186,7.78032786885246,16.6215846994536
1993,11.4567123287671,7.27013698630137,16.1967123287671
1994,12.9745205479452,8.53315068493151,17.8509589041096
1995,11.7758904109589,7.46191780821919,16.5397260273973
1996,11.7344262295082,7.43142076502731,16.6814207650273
1997,12.2764383561644,7.86356164383562,17.4027397260274
1998,13.1739726027397,9.00328767123288,18.1342465753425
1999,12.4920547945206,8.24301369863013,17.446301369863
2000,12.1117486338798,7.98005464480875,16.8409836065574
2001,12.1928767123288,8.07232876712329,17.041095890411
2002,12.1739726027397,8.04876712328768,16.918904109589
2003,12.2334246575342,8.23342465753424,16.8432876712329
2004,12.6439890710383,8.45655737704918,17.5704918032787
2005,11.7695890410959,7.7145205479452,16.6112328767123
2006,12.5961643835616,8.67424657534246,17.1271232876712
2007,12.7665753424658,8.9772602739726,17.1679452054794
2008,12.5994535519126,8.51994535519125,17.2040983606557
2009,12.4416438356164,8.3531506849315,17.0049315068493
2010,11.9246575342466,8.03616438356164,16.3095890410959
2011,11.7041095890411,7.82136986301371,16.1413698630137
2012,11.8314207650273,7.79453551912569,16.4229508196721
2013,11.9545205479452,7.96109589041095,16.4427397260274
2014,12.8021917808219,8.64958904109589,17.6495890410959
2015,13.1290410958904,8.86027397260274,18.0221917808219
2016,13.1928961748634,9.00027322404372,18.0207650273224
2017,12.4871232876712,8.20876712328768,17.3824657534247
2018,12.4567123287671,8.21890410958904,17.3452054794521
2019,12.9857534246575,8.55589041095891,18.0320547945206
2020,12.6754098360656,8.35327868852459,17.5704918032787
2021,13.0715068493151,8.55945205479453,18.1545205479452
